"id","canton_id:id","code","name"
"parish_010101","canton_0101","010101","Bellavista"
"parish_010102","canton_0101","010102","Cañaribamba"
"parish_010103","canton_0101","010103","El Batan"
"parish_010104","canton_0101","010104","El Sagrario"
"parish_010105","canton_0101","010105","El Vecino"
"parish_010106","canton_0101","010106","Gil Ramirez Davalos"
"parish_010107","canton_0101","010107","Huaynacapac"
"parish_010108","canton_0101","010108","Machangara"
"parish_010109","canton_0101","010109","Monay"
"parish_010110","canton_0101","010110","San Blas"
"parish_010111","canton_0101","010111","San Sebastian"
"parish_010112","canton_0101","010112","Sucre"
"parish_010113","canton_0101","010113","Totoracocha"
"parish_010114","canton_0101","010114","Yanuncay"
"parish_010115","canton_0101","010115","Hermano Miguel"
"parish_010150","canton_0101","010150","Cuenca"
"parish_010151","canton_0101","010151","Baños"
"parish_010152","canton_0101","010152","Cumbe"
"parish_010153","canton_0101","010153","Chaucha"
"parish_010154","canton_0101","010154","Checa (Jidcay)"
"parish_010155","canton_0101","010155","Chiquintad"
"parish_010156","canton_0101","010156","Llacao"
"parish_010157","canton_0101","010157","Molleturo"
"parish_010158","canton_0101","010158","Nulti"
"parish_010159","canton_0101","010159","Octavio Cordero Palacios (Santa Rosa)"
"parish_010160","canton_0101","010160","Paccha"
"parish_010161","canton_0101","010161","Quingeo"
"parish_010162","canton_0101","010162","Ricaurte"
"parish_010163","canton_0101","010163","San Joaquin"
"parish_010164","canton_0101","010164","Santa Ana"
"parish_010165","canton_0101","010165","Sayausi"
"parish_010166","canton_0101","010166","Sidcay"
"parish_010167","canton_0101","010167","Sinincay"
"parish_010168","canton_0101","010168","Tarqui"
"parish_010169","canton_0101","010169","Turi"
"parish_010170","canton_0101","010170","Valle"
"parish_010171","canton_0101","010171","Victoria del Portete (Irquis)"
"parish_010250","canton_0102","010250","Giron"
"parish_010251","canton_0102","010251","Asuncion"
"parish_010252","canton_0102","010252","San Gerardo"
"parish_010350","canton_0103","010350","Gualaceo"
"parish_010352","canton_0103","010352","Daniel Cordova Toral (El Oriente)"
"parish_010353","canton_0103","010353","Jadan"
"parish_010354","canton_0103","010354","Mariano Moreno"
"parish_010356","canton_0103","010356","Remigio Crespo Toral (Gulag)"
"parish_010357","canton_0103","010357","San Juan"
"parish_010358","canton_0103","010358","Zhidmad"
"parish_010359","canton_0103","010359","Luis Cordero Vega"
"parish_010360","canton_0103","010360","Simón Bolívar (Cab. En Gañanzol)"
"parish_010450","canton_0104","010450","Nabon"
"parish_010451","canton_0104","010451","Cochapata"
"parish_010452","canton_0104","010452","El Progreso"
"parish_010453","canton_0104","010453","Las Nieves (Chaya)"
"parish_010455","canton_0104","010455","La Paz"
"parish_010550","canton_0105","010550","Paute"
"parish_010552","canton_0105","010552","Bulan (Jose Victor Izquierdo)"
"parish_010553","canton_0105","010553","Chican (Guillermo Ortega)"
"parish_010554","canton_0105","010554","El Cabo"
"parish_010556","canton_0105","010556","Guarainag"
"parish_010559","canton_0105","010559","San Cristobal (Carlos Ordoñez Lazo)"
"parish_010561","canton_0105","010561","Tomebamba"
"parish_010562","canton_0105","010562","Dug-Dug"
"parish_010650","canton_0106","010650","Pucara"
"parish_010652","canton_0106","010652","San Rafael de Sharug"
"parish_010750","canton_0107","010750","San Fernando"
"parish_010751","canton_0107","010751","Chumblin"
"parish_010850","canton_0108","010850","Santa Isabel (Chaguarurco)"
"parish_010851","canton_0108","010851","Abdon Calderon (La Union)"
"parish_010852","canton_0108","010852","El Carmen de Pijili"
"parish_010853","canton_0108","010853","Zhaglli (Shaglli)"
"parish_010950","canton_0109","010950","Sigsig"
"parish_010951","canton_0109","010951","Cuchil (Cutchil)"
"parish_010952","canton_0109","010952","Gima"
"parish_010953","canton_0109","010953","Guel"
"parish_010954","canton_0109","010954","Ludo"
"parish_010955","canton_0109","010955","San Bartolome"
"parish_010956","canton_0109","010956","San Jose de Raranga"
"parish_011050","canton_0110","011050","San Felipe de Oña"
"parish_011051","canton_0110","011051","Susudel"
"parish_011150","canton_0111","011150","Chordeleg"
"parish_011151","canton_0111","011151","Principal"
"parish_011152","canton_0111","011152","La Union"
"parish_011153","canton_0111","011153","Luis Galarza Orellana"
"parish_011154","canton_0111","011154","San Martin de Puzhio"
"parish_011250","canton_0112","011250","El Pan"
"parish_011253","canton_0112","011253","San Vicente"
"parish_011350","canton_0113","011350","Sevilla de Oro"
"parish_011351","canton_0113","011351","Amaluza"
"parish_011352","canton_0113","011352","Palmas"
"parish_011450","canton_0114","011450","Guachapala"
"parish_011550","canton_0115","011550","Camilo Ponce Enriquez"
"parish_011551","canton_0115","011551","El Carmen de Pijili"
"parish_020101","canton_0201","020101","Angel Polibio Chavez"
"parish_020102","canton_0201","020102","Gabriel Ignacio Veintimilla"
"parish_020103","canton_0201","020103","Guanujo"
"parish_020150","canton_0201","020150","Guaranda"
"parish_020151","canton_0201","020151","Facundo Vela"
"parish_020153","canton_0201","020153","Julio E. Moreno (Catahuan Grande)"
"parish_020155","canton_0201","020155","Salinas"
"parish_020156","canton_0201","020156","San Lorenzo"
"parish_020157","canton_0201","020157","San Simon (Yacoto)"
"parish_020158","canton_0201","020158","Santafe (Santa Fe)"
"parish_020159","canton_0201","020159","Simiatug"
"parish_020160","canton_0201","020160","San Luis de Pambil"
"parish_020250","canton_0202","020250","Chillanes"
"parish_020251","canton_0202","020251","San Jose del Tambo (Tambopamba)"
"parish_020350","canton_0203","020350","San Jose de Chimbo"
"parish_020351","canton_0203","020351","Asuncion (Asancoto)"
"parish_020353","canton_0203","020353","Magdalena (Chapacoto)"
"parish_020354","canton_0203","020354","San Sebastian"
"parish_020355","canton_0203","020355","Telimbela"
"parish_020450","canton_0204","020450","Echeandia"
"parish_020550","canton_0205","020550","San Miguel"
"parish_020551","canton_0205","020551","Balsapamba"
"parish_020552","canton_0205","020552","Bilovan"
"parish_020553","canton_0205","020553","Regulo de Mora"
"parish_020554","canton_0205","020554","San Pablo (San Pablo de Atenas)"
"parish_020555","canton_0205","020555","Santiago"
"parish_020556","canton_0205","020556","San Vicente"
"parish_020650","canton_0206","020650","Caluma"
"parish_020701","canton_0207","020701","Las Mercedes"
"parish_020702","canton_0207","020702","Las Naves"
"parish_020750","canton_0207","020750","Las Naves"
